 Orientation: 0.0434953, 0.000563777, 0.0687961, -0.996682
1691009262.004591713: Position, 1.53258, 0.0109421, 1.21467
 Orientation: 0.0428871, 0.00216773, 0.0629867, -0.99709
1691009262.004647684: Position, 1.5238, 0.00838673, 1.21454
 Orientation: 0.0495281, -0.00530459, 0.081712, -0.995411
1691009262.024645839: Position, 1.50486, 0.0111067, 1.21706
 Orientation: 0.0526343, -0.0075633, 0.0855009, -0.994918
1691009262.034563478: Position, 1.49783, 0.00833555, 1.22157
 Orientation: -0.0712106, -0.043118, 0.066102, -0.994334
1691009262.044583006: Position, 1.4883, 0.00973834, 1.22151
 Orientation: -0.0456422, -0.0335231, 0.07092, -0.995873
1691009262.054495853: Position, 1.48023, 0.0105658, 1.22371
 Orientation: -0.0831775, -0.0444725, 0.0682, -0.993203
1691009262.054551652: Position, 1.47182, 0.0120252, 1.22243
 Orientation: -0.0188432, -0.0258605, 0.0759451, -0.996598
1691009262.064572318: Position, 1.46277, 0.0150579, 1.22053
 Orientation: 0.0621126, -0.00291713, 0.0795634, -0.994889
1691009262.084598925: Position, 1.44573, 0.0152694, 1.22159
 Orientation: -0.00234309, -0.0109868, 0.0758743, -0.997054
1691009262.104600464: Position, 1.42856, 0.0146045, 1.22631
 Orientation: -0.0733401, -0.0434299, 0.072916, -0.993689
1691009262.104655665: Position, 1.42003, 0.016143, 1.22591
 Orientation: -0.0537969, -0.0375702, 0.0773762, -0.99484
1691009262.114585109: Position, 1.41106, 0.017176, 1.22472
 Orientation: 0.000117937, -0.0201984, 0.078886, -0.996679
1691009262.124585068: Position, 1.40239, 0.017465, 1.22667
 Orientation: -0.0336027, -0.03721, 0.0818511, -0.995383
1691009262.134607146: Position, 1.39402, 0.0194503, 1.22386
 Orientation: -0.00181693, -0.018721, 0.0840412, -0.996285
1691009262.144619747: Position, 1.38525, 0.0238984, 1.22299
 Orientation: 0.059935, 0.00394742, 0.0749953, -0.995373
1691009262.154605624: Position, 1.37668, 0.0216865, 1.22205
 Orientation: 0.0630261, -0.00399622, 0.0920942, -0.993746
1691009262.154665482: Position, 1.36843, 0.0213086, 1.22267
 Orientation: 0.0198411, -0.0206143, 0.0859958, -0.995885
1691009262.164528532: Position, 1.36014, 0.0195927, 1.2261
 Orientation: -0.101023, -0.0514134, 0.0841758, -0.989983
1691009262.174572561: Position, 1.3512, 0.0199326, 1.22652
 Orientation: -0.14302, -0.0641981, 0.0744952, -0.984822
1691009262.184579832: Position, 1.34234, 0.0220397, 1.2233
 Orientation: -0.0645282, -0.0447997, 0.0855237, -0.993235
1691009262.194569773: Position, 1.33353, 0.0229415, 1.22228
 Orientation: -0.0563396, -0.0402277, 0.089207, -0.993604
1691009262.204610319: Position, 1.32467, 0.0247594, 1.21951
 Orientation: -0.00138981, -0.0294571, 0.0939666, -0.995138
1691009262.204670888: Position, 1.31407, 0.0278241, 1.21697
 Orientation: 0.0679842, -0.0119829, 0.106553, -0.991908
1691009262.214605920: Position, 1.30571, 0.0290285, 1.21543
 Orientation: 0.0651905, -0.0121764, 0.106686, -0.992079
1691009262.224630867: Position, 1.29745, 0.03084, 1.21493
 Orientation: 0.0659384, -0.00246397, 0.0900673, -0.993747
1691009262.234525261: Position, 1.28869, 0.0317636, 1.21381
 Orientation: 0.0684137, -0.00237834, 0.093106, -0.9933
1691009262.244590120: Position, 1.27989, 0.032668, 1.21197
 Orientation: 0.0675483, -0.0057072, 0.0902449, -0.99361
1691009262.254563624: Position, 1.26182, 0.0288571, 1.21223
 Orientation: -0.0539289, -0.0443993, 0.0978843, -0.992743
1691009262.264592696: Position, 1.25376, 0.028659, 1.21123
 Orientation: -0.072265, -0.0489624, 0.103089, -0.990835
1691009262.274569288: Position, 1.24415, 0.0302713, 1.20845
 Orientation: -0.0424643, -0.0397784, 0.104184, -0.992855
1691009262.284628335: Position, 1.23463, 0.0311247, 1.20578
 Orientation: -0.00893252, -0.0322249, 0.109774, -0.993394
